time_s,instrument,velocity,section,sample_rate
0.250000,0,1.000,A,48000
3.250000,1,1.000,A,48000
6.250000,2,1.000,A,48000
9.250000,3,1.000,A,48000
12.250000,4,1.000,A,48000
15.250000,5,1.000,A,48000
18.250000,6,1.000,A,48000
21.250000,7,1.000,A,48000
24.250000,8,1.000,A,48000
27.250000,9,1.000,A,48000
30.250000,10,1.000,A,48000
33.250000,11,1.000,A,48000
36.250000,12,1.000,A,48000
39.250000,13,1.000,A,48000
42.250000,14,1.000,A,48000
46.100000,0,0.200,B,48000
46.450000,0,0.450,B,48000
46.800000,0,0.700,B,48000
47.150000,0,1.000,B,48000
47.500000,1,0.200,B,48000
47.850000,1,0.450,B,48000
48.200000,1,0.700,B,48000
48.550000,1,1.000,B,48000
48.900000,2,0.200,B,48000
49.250000,2,0.450,B,48000
49.600000,2,0.700,B,48000
49.950000,2,1.000,B,48000
50.300000,3,0.200,B,48000
50.650000,3,0.450,B,48000
51.000000,3,0.700,B,48000
51.350000,3,1.000,B,48000
51.700000,4,0.200,B,48000
52.050000,4,0.450,B,48000
52.400000,4,0.700,B,48000
52.750000,4,1.000,B,48000
53.100000,5,0.200,B,48000
53.450000,5,0.450,B,48000
53.800000,5,0.700,B,48000
54.150000,5,1.000,B,48000
54.500000,6,0.200,B,48000
54.850000,6,0.450,B,48000
55.200000,6,0.700,B,48000
55.550000,6,1.000,B,48000
55.900000,7,0.200,B,48000
56.250000,7,0.450,B,48000
56.600000,7,0.700,B,48000
56.950000,7,1.000,B,48000
57.300000,8,0.200,B,48000
57.650000,8,0.450,B,48000
58.000000,8,0.700,B,48000
58.350000,8,1.000,B,48000
58.700000,9,0.200,B,48000
59.050000,9,0.450,B,48000
59.400000,9,0.700,B,48000
59.750000,9,1.000,B,48000
60.100000,10,0.200,B,48000
60.450000,10,0.450,B,48000
60.800000,10,0.700,B,48000
61.150000,10,1.000,B,48000
61.500000,11,0.200,B,48000
61.850000,11,0.450,B,48000
62.200000,11,0.700,B,48000
62.550000,11,1.000,B,48000
62.900000,12,0.200,B,48000
63.250000,12,0.450,B,48000
63.600000,12,0.700,B,48000
63.950000,12,1.000,B,48000
